COUNTRY,SUBBRAND,YEAR,MONTH,SCENARIO,FORECAST,FORECAST_YEAR,AMOUNT
Portugal,Lipton (L3),2023,12,AI_forecast,AI_P02F,2023,754356.2371940471
Great Britain,Lipton (L3),2023,12,AI_forecast,AI_P10F,2023,560030.5580289717
Spain,Pepsi Max (L3),2023,12,AI_forecast,AI_P09F,2023,88501.98084743075
Great Britain,7up (L3),2024,12,AI_forecast,AI_P10F,2023,363224.5115157905
Hungary,Lipton (L3),2023,9,AI_forecast,AI_P03F,2023,396176.12049051817
Norway,Pepsi Regular (L3),2025,2,AI_forecast,AI_P09F,2023,26672.674857643644
Denmark,7up (L3),2023,12,AI_forecast,AI_PF,2023,0.0
Netherlands,Mountain Dew (L3),2024,4,AI_forecast,AI_P02F,2023,0.0
Great Britain,Pepsi Max (L3),2023,9,AI_forecast,AI_P02F,2023,1.1385568693330815E7
Italy,Pepsi Regular (L3),2023,4,AI_forecast,AI_P03F,2023,2074742.3694583727
Hungary,Pepsi Regular (L3),2024,2,AI_forecast,AI_P09F,2023,774392.1831584028
Czech,7up (L3),2024,12,AI_forecast,AI_P11F,2023,64054.56981421109
Great Britain,7up (L3),2023,9,AI_forecast,AI_P06F,2023,213197.10166514348
Great Britain,7up (L3),2024,7,AI_forecast,AI_P05F,2023,433366.2138286418
Norway,Pepsi Max (L3),2024,11,AI_forecast,AI_P07F,2023,2607242.8930276693
Denmark,Pepsi Max (L3),2025,1,AI_forecast,AI_P12F,2023,3182136.767094186
Great Britain,Pepsi Regular (L3),2024,6,AI_forecast,AI_P09F,2023,1456306.6667505603
Norway,Pepsi Regular (L3),2024,10,AI_forecast,AI_P07F,2023,28444.9251257304
Hungary,Lipton (L3),2025,1,AI_forecast,AI_P11F,2023,295793.9172706276
Norway,Pepsi Regular (L3),2024,10,AI_forecast,AI_P10F,2023,24383.602501269717
Spain,Pepsi Regular (L3),2023,12,AI_forecast,AI_P05F,2023,134268.1510802472
Netherlands,Mountain Dew (L3),2023,12,AI_forecast,AI_P09F,2023,0.0
Netherlands,Pepsi Regular (L3),2024,10,AI_forecast,AI_P05F,2023,596038.841332876
Netherlands,Pepsi Regular (L3),2023,9,AI_forecast,AI_P06F,2023,553577.0234334534
Czech,Lipton (L3),2024,7,AI_forecast,AI_P07F,2023,370161.2093852301
Spain,Lipton (L3),2025,3,AI_forecast,AI_P11F,2023,9702.217953297748
Great Britain,7up (L3),2024,2,AI_forecast,AI_P10F,2023,81636.85150219138
Netherlands,Pepsi Max (L3),2023,11,AI_forecast,AI_P09F,2023,875613.8115998311
Italy,7up (L3),2023,6,AI_forecast,AI_P02F,2023,18672.258010230318
Norway,Lipton (L3),2023,12,AI_forecast,AI_P07F,2023,8958.900441506607
Denmark,7up Free (L3),2024,5,AI_forecast,AI_P02F,2023,15002.90000167826
Great Britain,Pepsi Max (L3),2024,2,AI_forecast,AI_P12F,2023,9648866.034654876
Hungary,Mountain Dew (L3),2023,6,AI_forecast,AI_PF,2023,43590.42803734383
Great Britain,Mountain Dew (L3),2023,7,AI_forecast,AI_P06F,2023,217876.40900608955
Czech,Pepsi Max (L3),2023,1,AI_forecast,AI_PF,2023,317424.3781237528
Hungary,7up (L3),2025,4,AI_forecast,AI_P12F,2023,0.0
Netherlands,Pepsi Max (L3),2024,8,AI_forecast,AI_P05F,2023,1138412.421549442
Norway,Pepsi Max (L3),2023,9,AI_forecast,AI_P06F,2023,2241149.2692247503
Norway,Pepsi Regular (L3),2023,10,AI_forecast,AI_P08F,2023,35035.515109862834
Netherlands,Mountain Dew (L3),2023,12,AI_forecast,AI_P08F,2023,0.0
Norway,Pepsi Regular (L3),2024,4,AI_forecast,AI_P02F,2023,33411.40761206215
Hungary,Lipton (L3),2024,1,AI_forecast,AI_P05F,2023,255504.6680070206
Italy,7up (L3),2024,6,AI_forecast,AI_P03F,2023,25257.14458737957
Norway,Pepsi Max (L3),2025,3,AI_forecast,AI_P10F,2023,2079038.807403482
Czech,Pepsi Regular (L3),2024,5,AI_forecast,AI_P05F,2023,1040405.8165390029
Norway,Lipton (L3),2024,1,AI_forecast,AI_P12F,2023,0.0
Portugal,Pepsi Max (L3),2023,11,AI_forecast,AI_PF,2023,170946.62154055535
Hungary,Pepsi Max (L3),2024,3,AI_forecast,AI_P02F,2023,595766.73403233
Hungary,Pepsi Max (L3),2024,9,AI_forecast,AI_P04F,2023,377382.91912487644
Netherlands,Pepsi Regular (L3),2023,12,AI_forecast,AI_P04F,2023,586841.6690397613
Great Britain,Mountain Dew (L3),2023,11,AI_forecast,AI_P04F,2023,137883.0671481638
Hungary,Pepsi Regular (L3),2024,4,AI_forecast,AI_P12F,2023,998853.5199187462
Denmark,Pepsi Regular (L3),2023,7,AI_forecast,AI_P04F,2023,205305.44487519958
Great Britain,7up (L3),2023,11,AI_forecast,AI_P02F,2023,249128.57968258223
Norway,Lipton (L3),2024,6,AI_forecast,AI_P10F,2023,4133.403928982756
Denmark,7up Free (L3),2023,4,AI_forecast,AI_P04F,2023,5057.7248326115405
Denmark,Pepsi Max (L3),2024,1,AI_forecast,AI_P02F,2023,1933737.8598790804
Hungary,Mountain Dew (L3),2023,5,AI_forecast,AI_P02F,2023,40038.151466021365
Great Britain,Pepsi Regular (L3),2024,11,AI_forecast,AI_P12F,2023,1277022.488578584
Great Britain,Mountain Dew (L3),2024,5,AI_forecast,AI_P03F,2023,149922.2769508383
Great Britain,7up Free (L3),2024,7,AI_forecast,AI_P11F,2023,1119131.6009025653
Great Britain,7up Free (L3),2024,12,AI_forecast,AI_P10F,2023,535212.7902441361
Spain,7up Free (L3),2024,1,AI_forecast,AI_P04F,2023,70144.32975342302
Norway,Pepsi Regular (L3),2023,12,AI_forecast,AI_PF,2023,36688.464181810356
Norway,Pepsi Max (L3),2024,7,AI_forecast,AI_P09F,2023,2511460.7938252506
Netherlands,Pepsi Regular (L3),2024,12,AI_forecast,AI_P07F,2023,426483.83024513465
Great Britain,Pepsi Max (L3),2025,1,AI_forecast,AI_P10F,2023,7899794.558638585
Great Britain,Pepsi Max (L3),2025,2,AI_forecast,AI_P09F,2023,8023722.216412252
Spain,7up (L3),2024,4,AI_forecast,AI_P02F,2023,38882.92122747848
Denmark,7up Free (L3),2024,6,AI_forecast,AI_P09F,2023,50485.168511170115
Denmark,Pepsi Max (L3),2024,9,AI_forecast,AI_P08F,2023,2413994.0669237417
Italy,Pepsi Max (L3),2023,12,AI_forecast,AI_P05F,2023,155069.59588387876
Great Britain,Lipton (L3),2025,1,AI_forecast,AI_P10F,2023,612465.1784212897
Great Britain,Pepsi Regular (L3),2023,11,AI_forecast,AI_P04F,2023,1807509.9864499134
Portugal,7up (L3),2023,9,AI_forecast,AI_PF,2023,427355.17080638127
Hungary,7up (L3),2024,11,AI_forecast,AI_P06F,2023,43011.31674943381
Netherlands,Pepsi Max (L3),2023,11,AI_forecast,AI_P04F,2023,680709.6679253975
Spain,Pepsi Regular (L3),2024,1,AI_forecast,AI_P05F,2023,132236.38710502087
Netherlands,Pepsi Regular (L3),2024,3,AI_forecast,AI_P03F,2023,518315.86751477956
Denmark,7up Free (L3),2025,1,AI_forecast,AI_P09F,2023,51172.14155486021
Great Britain,Pepsi Regular (L3),2024,5,AI_forecast,AI_PF,2023,1147346.864715919
Denmark,Pepsi Max (L3),2023,10,AI_forecast,AI_P08F,2023,1803688.8872715319
Great Britain,7up Free (L3),2023,6,AI_forecast,AI_P04F,2023,1319014.7248902423
Czech,Pepsi Max (L3),2023,10,AI_forecast,AI_P02F,2023,351891.93121006206
Spain,Lipton (L3),2024,6,AI_forecast,AI_P12F,2023,11066.397441724563
Great Britain,7up (L3),2024,7,AI_forecast,AI_P11F,2023,487602.63979595504
Denmark,7up (L3),2023,8,AI_forecast,AI_P05F,2023,0.0
Norway,Pepsi Max (L3),2023,5,AI_forecast,AI_PF,2023,2030002.3262592438
Denmark,Mountain Dew (L3),2024,2,AI_forecast,AI_P11F,2023,20821.38051373799
Hungary,7up Free (L3),2024,1,AI_forecast,AI_P08F,2023,29219.397671142004
Norway,7up Free (L3),2024,1,AI_forecast,AI_P12F,2023,37078.61444214388
Hungary,Pepsi Max (L3),2023,7,AI_forecast,AI_PF,2023,657364.9590009159
Norway,Mountain Dew (L3),2023,10,AI_forecast,AI_P10F,2023,3767.1132264072257
Italy,7up (L3),2024,3,AI_forecast,AI_P11F,2023,10701.786389509285
Spain,7up (L3),2024,5,AI_forecast,AI_P11F,2023,46147.26811412559
Hungary,Pepsi Max (L3),2025,1,AI_forecast,AI_P10F,2023,454347.54517587624
Great Britain,Pepsi Regular (L3),2025,1,AI_forecast,AI_P08F,2023,924167.6891074266
Spain,Pepsi Max (L3),2024,8,AI_forecast,AI_P06F,2023,113707.5764119321
Hungary,Pepsi Regular (L3),2024,7,AI_forecast,AI_P05F,2023,1332321.4382743884
Spain,7up Free (L3),2023,8,AI_forecast,AI_P08F,2023,89832.64174302659
Denmark,Pepsi Regular (L3),2024,11,AI_forecast,AI_P10F,2023,226607.4731180233
Portugal,Pepsi Regular (L3),2024,1,AI_forecast,AI_P09F,2023,183300.20516931804
Netherlands,Lipton (L3),2024,10,AI_forecast,AI_P08F,2023,1189551.853692166
Czech,Mountain Dew (L3),2024,5,AI_forecast,AI_P07F,2023,89069.82895632963
Great Britain,Pepsi Regular (L3),2024,4,AI_forecast,AI_P04F,2023,1328364.0878580657
Great Britain,Mountain Dew (L3),2024,2,AI_forecast,AI_P07F,2023,193879.01244659198
Norway,Mountain Dew (L3),2024,11,AI_forecast,AI_P06F,2023,0.0
Great Britain,7up (L3),2024,10,AI_forecast,AI_P08F,2023,11095.531048292025
Czech,7up (L3),2023,11,AI_forecast,AI_P09F,2023,53706.15237858674
Netherlands,Pepsi Max (L3),2024,4,AI_forecast,AI_P04F,2023,885731.1423855626
Czech,Pepsi Regular (L3),2024,11,AI_forecast,AI_P10F,2023,984890.7746066054
Portugal,Pepsi Max (L3),2025,4,AI_forecast,AI_P12F,2023,229014.61460288055
Hungary,Mountain Dew (L3),2025,4,AI_forecast,AI_P11F,2023,35100.5657628108
Norway,7up (L3),2023,9,AI_forecast,AI_P06F,2023,3215.8582855052873
Great Britain,7up (L3),2023,8,AI_forecast,AI_P06F,2023,222968.45337615404
Spain,Pepsi Regular (L3),2023,8,AI_forecast,AI_PF,2023,164759.7931374658
Denmark,Pepsi Max (L3),2024,2,AI_forecast,AI_P10F,2023,2168689.468559547
Denmark,Pepsi Max (L3),2024,2,AI_forecast,AI_P07F,2023,1885385.4690555853
Great Britain,Lipton (L3),2023,3,AI_forecast,AI_P02F,2023,482276.85194270004
Hungary,7up (L3),2024,8,AI_forecast,AI_P07F,2023,57687.32558569557
Norway,7up (L3),2024,10,AI_forecast,AI_P05F,2023,0.0
Netherlands,Lipton (L3),2023,11,AI_forecast,AI_P04F,2023,1560143.4008490217
Netherlands,Pepsi Regular (L3),2023,6,AI_forecast,AI_P05F,2023,547621.2995560803
Italy,Pepsi Max (L3),2025,1,AI_forecast,AI_P12F,2023,189462.26173910892
Denmark,Pepsi Max (L3),2025,2,AI_forecast,AI_P11F,2023,2385020.6059998497
Denmark,Pepsi Max (L3),2024,8,AI_forecast,AI_P10F,2023,2332322.302124786
Denmark,Pepsi Max (L3),2024,6,AI_forecast,AI_P03F,2023,2252010.196228202
Great Britain,Pepsi Regular (L3),2024,5,AI_forecast,AI_P05F,2023,1187767.9346570885
